ひらがな	カタカナ	修正ヘボン式	訓令式	外務省ヘボン式	日本式	駅名標ヘボン式	道路標識ヘボン式	６点点字
ぁ	ァ	a	a	a	a	a	a	⠁
あ	ア	a	a	a	a	a	a	⠁
ぃ	ィ	i	i	i	i	i	i	⠃
い	イ	i	i	i	i	i	i	⠃
いぇ	イェ	ye	ye	ye	ye	ye	ye	⠈⠋
ぅ	ゥ	u	u	u	u	u	u	⠉
う	ウ	u	u	u	u	u	u	⠉
ゔ	ヴ	vu	vu	vu	vu	vu	vu	⠐⠉
ゔぁ	ヴァ	va	va	va	va	va	va	⠲⠥
ゔぃ	ヴィ	vi	vi	vi	vi	vi	vi	⠲⠧
ゔぇ	ヴェ	ve	ve	ve	ve	ve	ve	⠲⠯
ゔぉ	ヴォ	vo	vo	vo	vo	vo	vo	⠲⠮
ゔゃ	ヴャ	vya	vya	vya	vya	vya	vya	⠘⠥
ゔゅ	ヴュ	vyu	vyu	vyu	vyu	vyu	vyu	⠸⠬
ゔょ	ヴョ	vyo	vyo	vyo	vyo	vyo	vyo	⠸⠜
ぇ	ェ	e	e	e	e	e	e	⠋
え	エ	e	e	e	e	e	e	⠋
ぉ	ォ	o	o	o	o	o	o	⠊
お	オ	o	o	o	o	o	o	⠊
か	カ	ka	ka	ka	ka	ka	ka	⠡
ゕ	ヵ	ka	ka	ka	ka	ka	ka	⠡
が	ガ	ga	ga	ga	ga	ga	ga	⠐⠡
き	キ	ki	ki	ki	ki	ki	ki	⠣
ぎ	ギ	gi	gi	gi	gi	gi	gi	⠐⠣
きぃ	キィ	kī	kii	kii	kii	kii	kii	⠣⠒
ぎぃ	ギィ	gī	gii	gii	gii	gii	gii	⠐⠣⠒
きぇ	キェ	kye	kye	kye	kye	kye	kye	⠈⠫
ぎぇ	ギェ	gye	gye	gye	gye	gye	gye	⠘⠫
きゃ	キャ	kya	kya	kya	kya	kya	kya	⠈⠡
ぎゃ	ギャ	gya	gya	gya	gya	gya	gya	⠘⠡
きゅ	キュ	kyu	kyu	kyu	kyu	kyu	kyu	⠈⠩
ぎゅ	ギュ	gyu	gyu	gyu	gyu	gyu	gyu	⠘⠩
きょ	キョ	kyo	kyo	kyo	kyo	kyo	kyo	⠈⠪
ぎょ	ギョ	gyo	gyo	gyo	gyo	gyo	gyo	⠘⠪
く	ク	ku	ku	ku	ku	ku	ku	⠩
ぐ	グ	gu	gu	gu	gu	gu	gu	⠐⠩
くぁ	クァ	kwa	kwa	kwa	kwa	kwa	kwa	⠢⠡
ぐぁ	グァ	gwa	gwa	gwa	gwa	gwa	gwa	⠲⠡
くぃ	クィ	kwi	kwi	kwi	kwi	kwi	kwi	⠢⠣
ぐぃ	グィ	gwi	gwi	gwi	gwi	gwi	gwi	⠲⠣
くぅ	クゥ	kū	kuu	kuu	kuu	kuu	kuu	⠩⠒
ぐぅ	グゥ	gū	guu	guu	guu	guu	guu	⠐⠩⠒
くぇ	クェ	kwe	kwe	kwe	kwe	kwe	kwe	⠢⠫
ぐぇ	グェ	gwe	gwe	gwe	gwe	gwe	gwe	⠲⠫
くぉ	クォ	kwo	kwo	kwo	kwo	kwo	kwo	⠢⠪
ぐぉ	グォ	gwo	gwo	gwo	gwo	gwo	gwo	⠲⠪
け	ケ	ke	ke	ke	ke	ke	ke	⠫
ゖ	ヶ	ke	ke	ke	ke	ke	ke	⠫
げ	ゲ	ge	ge	ge	ge	ge	ge	⠐⠫
こ	コ	ko	ko	ko	ko	ko	ko	⠪
ご	ゴ	go	go	go	go	go	go	⠐⠪
さ	サ	sa	sa	sa	sa	sa	sa	⠱
ざ	ザ	za	za	za	za	za	za	⠐⠱
し	シ	shi	si	shi	si	shi	shi	⠳
じ	ジ	ji	zi	ji	zi	ji	ji	⠐⠳
しぃ	シィ	shī	sii	shii	sii	shii	shii	⠳⠒
じぃ	ジィ	jī	zii	jii	zii	jii	jii	⠐⠳⠒
しぇ	シェ	she	sye	she	sye	she	she	⠈⠻
じぇ	ジェ	je	zye	je	zye	je	je	⠘⠻
しゃ	シャ	sha	sya	sha	sya	sha	sha	⠈⠱
じゃ	ジャ	ja	zya	ja	zya	ja	ja	⠘⠱
しゅ	シュ	shu	syu	shu	syu	shu	shu	⠈⠹
じゅ	ジュ	ju	zyu	ju	zyu	ju	ju	⠘⠹
しょ	ショ	sho	syo	sho	syo	sho	sho	⠈⠺
じょ	ジョ	jo	zyo	jo	zyo	jo	jo	⠘⠺
す	ス	su	su	su	su	su	su	⠹
ず	ズ	zu	zu	zu	zu	zu	zu	⠐⠹
せ	セ	se	se	se	se	se	se	⠻
ぜ	ゼ	ze	ze	ze	ze	ze	ze	⠐⠻
そ	ソ	so	so	so	so	so	so	⠺
ぞ	ゾ	zo	zo	zo	zo	zo	zo	⠐⠺
た	タ	ta	ta	ta	ta	ta	ta	⠕
だ	ダ	da	da	da	da	da	da	⠐⠕
ち	チ	chi	ti	chi	ti	chi	chi	⠗
ぢ	ヂ	ji	di	ji	di	ji	ji	⠐⠗
ちぃ	チィ	chī	tii	chii	tii	chii	chii	⠗⠒
ぢぃ	ヂィ	jī	dii	jii	dii	jii	jii	⠐⠗⠒
ちぇ	チェ	che	tye	che	tye	che	che	⠈⠟
ぢぇ	ヂェ	je	dye	je	dye	je	je	⠘⠟
ちゃ	チャ	cha	tya	cha	tya	cha	cha	⠈⠕
ぢゃ	ヂャ	ja	dya	ja	dya	ja	ja	⠘⠕
ちゅ	チュ	chu	tyu	chu	tyu	chu	chu	⠈⠝
ぢゅ	ヂュ	ju	dyu	ju	dyu	ju	ju	⠘⠝
ちょ	チョ	cho	tyo	cho	tyo	cho	cho	⠈⠞
ぢょ	ヂョ	jo	dyo	jo	dyo	jo	jo	⠘⠞
っ	ッ							⠂
つ	ツ	tsu	tu	tsu	tu	tsu	tsu	⠝
づ	ヅ	zu	du	zu	du	zu	zu	⠐⠝
つぁ	ツァ	tsa	tsa	tsa	tsa	tsa	tsa	⠢⠕
つぃ	ツィ	tsi	tsi	tsi	tsi	tsi	tsi	⠢⠗
つぅ	ツゥ	tsū	tuu	tsuu	tuu	tsuu	tsuu	⠝⠒
つぇ	ツェ	tse	tse	tse	tse	tse	tse	⠢⠟
つぉ	ツォ	tso	tso	tso	tso	tso	tso	⠢⠞
っか	ッカ	kka	kka	kka	kka	kka	kka	⠂⠡
っが	ッガ	gga	gga	gga	gga	gga	gga	⠂⠐⠡
っき	ッキ	kki	kki	kki	kki	kki	kki	⠂⠣
っぎ	ッギ	ggi	ggi	ggi	ggi	ggi	ggi	⠂⠐⠣
っきぃ	ッキィ	kki	kkii	kkii	kkii	kkii	kkii	⠂⠣⠒
っぎぃ	ッギィ	ggi	ggii	ggii	ggii	ggii	ggii	⠂⠐⠣⠒
っきぇ	ッキェ	kkye	kkye	kkye	kkye	kkye	kkye	⠂⠈⠫
っぎぇ	ッギェ	ggye	ggye	ggye	ggye	ggye	ggye	⠂⠘⠫
っきゃ	ッキャ	kkya	kkya	kkya	kkya	kkya	kkya	⠂⠈⠡
っぎゃ	ッギャ	ggya	ggya	ggya	ggya	ggya	ggya	⠂⠘⠡
っきゅ	ッキュ	kkyu	kkyu	kkyu	kkyu	kkyu	kkyu	⠂⠈⠩
っぎゅ	ッギュ	ggyu	ggyu	ggyu	ggyu	ggyu	ggyu	⠂⠘⠩
っきょ	ッキョ	kkyo	kkyo	kkyo	kkyo	kkyo	kkyo	⠂⠈⠪
っぎょ	ッギョ	ggyo	ggyo	ggyo	ggyo	ggyo	ggyo	⠂⠘⠪
っく	ック	kku	kku	kku	kku	kku	kku	⠂⠩
っぐ	ッグ	ggu	ggu	ggu	ggu	ggu	ggu	⠂⠐⠩
っけ	ッケ	kke	kke	kke	kke	kke	kke	⠂⠫
っげ	ッゲ	gge	gge	gge	gge	gge	gge	⠂⠐⠫
っこ	ッコ	kko	kko	kko	kko	kko	kko	⠂⠪
っご	ッゴ	ggo	ggo	ggo	ggo	ggo	ggo	⠂⠐⠪
っさ	ッサ	ssa	ssa	ssa	ssa	ssa	ssa	⠂⠱
っざ	ッザ	zza	zza	zza	zza	zza	zza	⠂⠐⠱
っし	ッシ	sshi	ssi	sshi	ssi	sshi	sshi	⠂⠳
っじ	ッジ	jji	zzi	jji	zzi	jji	jji	⠂⠐⠳
っしぃ	ッシィ	sshi	ssii	sshii	ssii	sshii	sshii	⠂⠳⠒
っじぃ	ッジィ	jji	zzii	jjii	zzii	jjii	jjii	⠂⠐⠳⠒
っしぇ	ッシェ	sshe	ssye	sshe	ssye	sshe	sshe	⠂⠈⠻
っじぇ	ッジェ	jje	zzye	jje	zzye	jje	jje	⠂⠘⠻
っしゃ	ッシャ	ssha	ssya	ssha	ssya	ssha	ssha	⠂⠈⠱
っじゃ	ッジャ	jja	zzya	jja	zzya	jja	jja	⠂⠘⠱
っしゅ	ッシュ	sshu	ssyu	sshu	ssyu	sshu	sshu	⠂⠈⠹
っじゅ	ッジュ	jju	zzyu	jju	zzyu	jju	jju	⠂⠘⠹
っしょ	ッショ	ssho	ssyo	ssho	ssyo	ssho	ssho	⠂⠈⠺
っじょ	ッジョ	jjo	zzyo	jjo	zzyo	jjo	jjo	⠂⠘⠺
っす	ッス	ssu	ssu	ssu	ssu	ssu	ssu	⠂⠹
っず	ッズ	zzu	zzu	zzu	zzu	zzu	zzu	⠂⠐⠹
っせ	ッセ	sse	sse	sse	sse	sse	sse	⠂⠻
っぜ	ッゼ	zze	zze	zze	zze	zze	zze	⠂⠐⠻
っそ	ッソ	sso	sso	sso	sso	sso	sso	⠂⠺
っぞ	ッゾ	zzo	zzo	zzo	zzo	zzo	zzo	⠂⠐⠺
った	ッタ	tta	tta	tta	tta	tta	tta	⠂⠕
っだ	ッダ	dda	dda	dda	dda	dda	dda	⠂⠐⠕
っち	ッチ	tchi	tti	tchi	tti	tchi	tchi	⠂⠗
っぢ	ッヂ	jji	ddi	jji	ddi	jji	jji	⠂⠐⠗
っちぃ	ッチィ	tchi	ttii	tchii	ttii	tchii	tchii	⠂⠗⠒
っぢぃ	ッヂィ	jji	ddii	jjii	ddii	jjii	jjii	⠂⠐⠗⠒
っちぇ	ッチェ	tche	ttye	tche	ttye	tche	tche	⠂⠈⠟
っぢぇ	ッヂェ	jje	ddye	jje	ddye	jje	jje	⠂⠘⠟
っちゃ	ッチャ	tcha	ttya	tcha	ttya	tcha	tcha	⠂⠈⠕
っぢゃ	ッヂャ	jja	ddya	jja	ddya	jja	jja	⠂⠘⠕
っちゅ	ッチュ	tchu	ttyu	tchu	ttyu	tchu	tchu	⠂⠈⠝
っぢゅ	ッヂュ	jju	ddyu	jju	ddyu	jju	jju	⠂⠘⠝
っちょ	ッチョ	tcho	ttyo	tcho	ttyo	tcho	tcho	⠂⠈⠞
っぢょ	ッヂョ	jjo	ddyo	jjo	ddyo	jjo	jjo	⠂⠘⠞
っつ	ッツ	ttsu	ttu	ttsu	ttu	ttsu	ttsu	⠂⠝
っづ	ッヅ	zzu	ddu	zzu	ddu	zzu	zzu	⠂⠐⠝
って	ッテ	tte	tte	tte	tte	tte	tte	⠂⠟
っで	ッデ	dde	dde	dde	dde	dde	dde	⠂⠐⠟
っと	ット	tto	tto	tto	tto	tto	tto	⠂⠞
っど	ッド	ddo	ddo	ddo	ddo	ddo	ddo	⠂⠐⠞
っは	ッハ	hha	hha	hha	hha	hha	hha	⠂⠥
っば	ッバ	bba	bba	bba	bba	bba	bba	⠂⠐⠥
っぱ	ッパ	ppa	ppa	ppa	ppa	ppa	ppa	⠂⠠⠥
っひ	ッヒ	hhi	hhi	hhi	hhi	hhi	hhi	⠂⠧
っび	ッビ	bbi	bbi	bbi	bbi	bbi	bbi	⠂⠐⠧
っぴ	ッピ	ppi	ppi	ppi	ppi	ppi	ppi	⠂⠠⠧
っひぃ	ッヒィ	hhi	hhii	hhii	hhii	hhii	hhii	⠂⠧⠒
っびぃ	ッビィ	bbi	bbii	bbii	bbii	bbii	bbii	⠂⠐⠧⠒
っぴぃ	ッピィ	ppi	ppii	ppii	ppii	ppii	ppii	⠂⠠⠧⠒
っひぇ	ッヒェ	hhye	hhye	hhye	hhye	hhye	hhye	⠂⠈⠯
っびぇ	ッビェ	bbye	bbye	bbye	bbye	bbye	bbye	⠂⠘⠯
っぴぇ	ッピェ	ppye	ppye	ppye	ppye	ppye	ppye	⠂⠨⠯
っひゃ	ッヒャ	hhya	hhya	hhya	hhya	hhya	hhya	⠂⠈⠥
っびゃ	ッビャ	bbya	bbya	bbya	bbya	bbya	bbya	⠂⠘⠥
っぴゃ	ッピャ	ppya	ppya	ppya	ppya	ppya	ppya	⠂⠨⠥
っひゅ	ッヒュ	hhyu	hhyu	hhyu	hhyu	hhyu	hhyu	⠂⠈⠭
っびゅ	ッビュ	bbyu	bbyu	bbyu	bbyu	bbyu	bbyu	⠂⠘⠭
っぴゅ	ッピュ	ppyu	ppyu	ppyu	ppyu	ppyu	ppyu	⠂⠨⠭
っひょ	ッヒョ	hhyo	hhyo	hhyo	hhyo	hhyo	hhyo	⠂⠈⠮
っびょ	ッビョ	bbyo	bbyo	bbyo	bbyo	bbyo	bbyo	⠂⠘⠮
っぴょ	ッピョ	ppyo	ppyo	ppyo	ppyo	ppyo	ppyo	⠂⠨⠮
っふ	ッフ	ffu	hhu	ffu	hhu	ffu	ffu	⠂⠭
っぶ	ッブ	bbu	bbu	bbu	bbu	bbu	bbu	⠂⠐⠭
っぷ	ップ	ppu	ppu	ppu	ppu	ppu	ppu	⠂⠠⠭
っふぁ	ッファ	ffa	hhua	ffa	hhua	ffa	ffa	⠂⠢⠥
っふぃ	ッフィ	ffi	hhui	ffi	hhui	ffi	ffi	⠂⠢⠧
っふぅ	ッフゥ	ffu	hhuu	ffuu	hhuu	ffuu	ffuu	⠂⠭⠒
っふぇ	ッフェ	ffe	hhue	ffe	hhue	ffe	ffe	⠂⠢⠯
っふぉ	ッフォ	ffo	hhuo	ffo	hhuo	ffo	ffo	⠂⠢⠮
っへ	ッヘ	hhe	hhe	hhe	hhe	hhe	hhe	⠂⠯
っべ	ッベ	bbe	bbe	bbe	bbe	bbe	bbe	⠂⠐⠯
っぺ	ッペ	ppe	ppe	ppe	ppe	ppe	ppe	⠂⠠⠯
っほ	ッホ	hho	hho	hho	hho	hho	hho	⠂⠮
っぼ	ッボ	bbo	bbo	bbo	bbo	bbo	bbo	⠂⠐⠮
っぽ	ッポ	ppo	ppo	ppo	ppo	ppo	ppo	⠂⠠⠮
っや	ッヤ	yya	yya	yya	yya	yya	yya	⠂⠌
っゆ	ッユ	yyu	yyu	yyu	yyu	yyu	yyu	⠂⠬
っよ	ッヨ	yyo	yyo	yyo	yyo	yyo	yyo	⠂⠜
っら	ッラ	rra	rra	rra	rra	rra	rra	⠂⠑
っり	ッリ	rri	rri	rri	rri	rri	rri	⠂⠓
っりゃ	ッリャ	rrya	rrya	rrya	rrya	rrya	rrya	⠂⠈⠑
っりゅ	ッリュ	rryu	rryu	rryu	rryu	rryu	rryu	⠂⠈⠙
